County,year,pui,snap,he,Population (2020),WA_adults_cost_prohibited_healthcare_access_pct_2019_bycounty,WA_adults_flu_shot_pct_2019_bycounty,WA_adult_poor_mental_health_pct_2019_bycounty,WA_adult_binge_drinking_pct_2019_bycounty,WA_maternal_smoking_pct_2019_bycounty
King,2014,6.6,722360,808729,2269675,10.7,46.48,12.0,16.78,3.14
King,2015,4.5,86703,819651,2269675,10.7,46.48,12.0,16.78,3.14
King,2016,4.5,85155,831995,2269675,10.7,46.48,12.0,16.78,3.14
King,2017,5.3,82864,851077,2269675,10.7,46.48,12.0,16.78,3.14
King,2018,5.1,78104,865627,2269675,10.7,46.48,12.0,16.78,3.14
King,2019,5.0,74935,882028,2269675,10.7,46.48,12.0,16.78,3.14
Kitsap,2012,12.1,86823,97668,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2013,10.6,86006,97622,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2014,5.2,85785,97993,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2015,4.9,12384,97739,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2016,5.7,11846,98250,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2017,2.6,11833,100484,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2018,4.6,11336,101662,275611,8.41,43.57,14.83,15.55,11.07
Kitsap,2019,3.9,10567,103913,275611,8.41,43.57,14.83,15.55,11.07
Kittitas,2012,13.8,14229,16499,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2013,20.1,13970,16538,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2014,9.5,14322,16753,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2015,10.0,2449,16953,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2016,8.1,2421,17164,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2017,5.9,2315,17648,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2018,5.7,2013,18003,44337,13.54,43.03,10.43,18.86,10.99
Kittitas,2019,7.4,1968,18347,44337,13.54,43.03,10.43,18.86,10.99
Klickitat,2012,13.8,6719,8294,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2013,14.5,6523,8019,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2014,11.3,6754,7959,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2015,6.4,972,7863,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2016,5.8,1338,8069,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2017,9.3,1357,8247,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2018,6.5,1500,8539,22735,15.56,24.29,11.85,25.63,14.69
Klickitat,2019,5.9,1601,8877,22735,15.56,24.29,11.85,25.63,14.69
Lewis,2012,14.5,23649,29486,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2013,14.9,23420,29527,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2014,11.9,23077,29450,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2015,6.0,6511,29515,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2016,6.3,6201,29426,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2017,8.7,6228,30036,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2018,6.4,6114,30262,82149,13.48,29.71,8.92,8.06,18.38
Lewis,2019,6.1,5810,30618,82149,13.48,29.71,8.92,8.06,18.38
Lincoln,2012,9.6,4052,4610,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2013,11.5,3939,4457,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2014,7.5,3961,4445,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2015,4.1,544,4370,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2016,5.1,589,4337,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2017,4.3,563,4416,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2018,3.9,549,4485,10876,15.13,45.93,8.21,7.86,16.5
Lincoln,2019,3.0,495,4525,10876,15.13,45.93,8.21,7.86,16.5
Mason,2012,17.2,19650,23274,65726,18.19,36.76,17.8,13.42,16.83
Mason,2013,21.4,19439,23358,65726,18.19,36.76,17.8,13.42,16.83
Mason,2014,9.1,18996,23099,65726,18.19,36.76,17.8,13.42,16.83
Mason,2015,7.3,4038,23026,65726,18.19,36.76,17.8,13.42,16.83
Mason,2016,5.9,4051,22454,65726,18.19,36.76,17.8,13.42,16.83
Mason,2017,6.2,4156,23034,65726,18.19,36.76,17.8,13.42,16.83
Mason,2018,8.4,4149,23535,65726,18.19,36.76,17.8,13.42,16.83
Mason,2019,4.0,4105,24278,65726,18.19,36.76,17.8,13.42,16.83
Okanogan,2012,21.3,12777,15740,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2013,20.3,12959,15980,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2014,13.7,13073,16401,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2015,10.4,3434,16619,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2016,12.0,3579,16804,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2017,14.1,3437,17075,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2018,12.6,3559,17527,42104,10.46,33.58,8.44,14.08,12.68
Okanogan,2019,8.4,3456,17675,42104,10.46,33.58,8.44,14.08,12.68
Pacific,2012,12.5,7719,9363,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2013,13.2,7602,9366,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2014,8.5,7203,9143,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2015,5.7,2061,9100,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2016,5.3,2066,8986,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2017,4.1,2029,8786,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2018,5.3,2003,9087,23365,19.87,37.75,8.59,15.48,22.92
Pacific,2019,4.0,1804,9279,23365,19.87,37.75,8.59,15.48,22.92
Pend Oreille,2012,15.5,4301,5434,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2013,16.6,4346,5484,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2014,10.6,4317,5532,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2015,6.9,1070,5396,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2016,8.8,1112,5409,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2017,7.6,997,5637,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2018,9.3,1099,5782,13401,15.75,29.84,9.18,14.87,20.3
Pend Oreille,2019,6.6,1068,5727,13401,15.75,29.84,9.18,14.87,20.3
Pierce,2012,13.8,260775,299334,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2013,13.2,257986,300623,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2014,8.3,256405,301364,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2015,5.7,46387,303586,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2016,4.7,46220,307106,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2017,5.5,45137,312839,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2018,4.9,43327,317699,921130,11.83,42.99,14.07,16.38,10.63
Pierce,2019,5.3,41043,323296,921130,11.83,42.99,14.07,16.38,10.63
San Juan,2012,10.2,7412,7963,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2013,11.6,7158,7753,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2014,7.6,6992,7611,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2015,3.7,606,7708,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2016,4.1,570,7623,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2017,4.2,490,7718,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2018,4.1,447,8025,17788,13.2,34.17,12.04,23.17,7.58
San Juan,2019,5.0,410,8252,17788,13.2,34.17,12.04,23.17,7.58
Skagit,2012,14.2,39291,45474,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2013,13.8,38342,45293,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2014,10.8,37864,45309,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2015,4.9,7478,45841,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2016,5.2,7264,46108,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2017,5.6,7415,47341,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2018,6.0,6849,47937,129523,14.45,38.26,13.24,13.16,8.17
Skagit,2019,6.7,6152,48493,129523,14.45,38.26,13.24,13.16,8.17
Skamania,2012,13.3,3795,4378,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2013,14.5,3708,4452,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2014,10.9,3706,4433,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2015,5.4,704,4495,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2016,6.5,668,4577,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2017,8.5,656,4713,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2018,5.8,561,4685,12036,6.69,28.25,12.02,20.58,12.66
Skamania,2019,6.0,549,4816,12036,6.69,28.25,12.02,20.58,12.66
Snohomish,2012,13.5,239496,268546,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2013,12.8,236452,268722,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2014,7.5,238129,271514,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2015,5.4,34342,274766,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2016,4.7,32868,278626,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2017,4.4,31598,284477,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2018,6.5,29446,289737,827957,11.53,42.82,12.61,14.67,6.94
Snohomish,2019,6.6,28711,293823,827957,11.53,42.82,12.61,14.67,6.94
Spokane,2012,12.7,157714,187397,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2013,15.8,155447,187572,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2014,7.4,154142,188126,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2015,5.1,34846,189471,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2016,4.6,34631,191222,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2017,4.2,34203,194995,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2018,4.9,33586,198489,539339,12.6,39.8,15.4,15.54,11.63
Spokane,2019,5.9,32453,202811,539339,12.6,39.8,15.4,15.54,11.63
Stevens,2012,16.0,14636,17634,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2013,16.3,14477,17684,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2014,10.4,14141,17626,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2015,7.0,3430,17679,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2016,8.9,3283,17442,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2017,7.7,3091,17534,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2018,9.8,3024,17433,46445,15.38,24.99,15.6,12.85,17.47
Stevens,2019,7.0,2872,17554,46445,15.38,24.99,15.6,12.85,17.47
Thurston,2012,14.1,89618,100766,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2013,11.9,88783,100801,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2014,7.1,88763,101530,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2015,6.1,13631,102631,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2016,3.9,13730,103468,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2017,3.0,12997,106229,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2018,4.6,12753,108070,294793,11.51,41.71,12.28,15.51,10.97
Thurston,2019,5.7,13039,109983,294793,11.51,41.71,12.28,15.51,10.97
Wahkiakum,2012,10.6,1386,1699,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2013,11.0,1361,1715,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2014,7.2,1394,1716,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2015,4.1,299,1716,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2016,4.2,313,1789,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2017,3.4,303,1823,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2018,3.7,279,1844,4422,14.71,25.84,18.22,21.09,21.43
Wahkiakum,2019,3.5,261,1897,4422,14.71,25.84,18.22,21.09,21.43
Walla Walla,2012,19.2,18254,21497,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2013,18.0,18209,21677,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2014,14.1,18142,21698,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2015,8.7,3348,21696,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2016,7.0,3256,21851,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2017,8.0,3015,22391,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2018,10.1,2996,22304,62584,10.71,39.99,14.78,12.16,8.77
Walla Walla,2019,10.9,2951,22646,62584,10.71,39.99,14.78,12.16,8.77
Whatcom,2012,13.2,68816,79244,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2013,14.6,67426,79314,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2014,6.9,67377,79837,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2015,7.2,12164,79767,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2016,5.6,12420,81019,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2017,4.9,12204,83475,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2018,5.8,11066,85008,226847,15.18,40.89,15.07,18.4,7.69
Whatcom,2019,6.4,10580,86523,226847,15.18,40.89,15.07,18.4,7.69
Whitman,2012,13.2,14980,16424,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2013,15.3,15018,16624,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2014,10.8,15330,17174,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2015,6.5,2109,17399,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2016,6.7,1998,17185,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2017,4.2,1911,17657,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2018,5.0,1787,17910,47973,9.74,42.76,12.11,18.11,6.03
Whitman,2019,4.5,1723,17999,47973,9.74,42.76,12.11,18.11,6.03
Yakima,2012,23.0,61978,79478,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2013,25.9,60082,79679,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2014,11.6,59923,79717,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2015,10.5,19216,79972,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2016,10.3,19223,80196,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2017,9.0,19030,81720,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2018,15.1,18554,82300,256728,16.72,40.41,12.35,12.13,5.64
Yakima,2019,10.6,18310,83048,256728,16.72,40.41,12.35,12.13,5.64
